Segment,Customer,Doc No,Line No,K1,K2,K3,K4,Shade,Ord. Qty,Sub Segment,Season,Style,Merchant,PO No.,Rate,Cops No,Cops Ln,K5,K6,K7,Dispatched,Bal to Dispatch,FSC Commit Date,Q1,Q2,Q3,Q4,Q5,Q6,WIP Status,Mktg Remark for FSCM,Mktg Remark for Internal,FPT,Airway Bill No,PreShip Dt1,PreShip Dt2,Doc Date,DO No.,Sch Plant I/p Dt,CostCenter,Loom Start Dt.,Export/Domestic,YD/PD,Closed DB2,CV STK,A/H Name,Multiple Del Date,Bal To Issue AT1,Packed In AT1,Last Packing Date,Last Q1/Q5 Date,Q7,Last Dispatch Date,Bal To Issue AT2,Packed In AT2,Last Packing Date AT2,Last Q1/Q5 Date AT2,Q1 AT2,Q2 AT2,Q3 AT2,Q4 AT2,Q5 AT2,Q6 AT2,Q7 AT2,Dispatched From AT2,WIP Status AT2,Greige Stock Baddi,Greige Stock Budhni,Greige K1,Greige Construction,Finish Construction,Actual Planning Month,RGEDOD,Input Date AT1,Input Date AT2,Running Looms,Delay Del Date Greige,Delay Del Date At1,Delay Date AT2,Lab Ref No,Strike Off No,Dispatch In Same SO,Dispatch In Other SO,Close Tag Marketing,Order Creation Date,Delay in Days,Budget Remark,BCI Tracer Account,Pref Factory,Weaving Plant,AT1 P/O Date,AT2 P/O Date,Commulative Order Qty,Labdip Option No,Strike-Off Option No,Preschepment Docket No,Light Source,Exec Remark,PPC Comment,Committed Dely Date,CR Date,Revised CR Date,PO No AT1,PO No AT2,Item Type,Closed By,Closed On,Closed Remark,Invoice No,Invoice Qty,Approved & Non Approved,End Use,Supply chain Feasibility comments,QUERY CONF DATE,Original Order Quantity,Grey Allocation Start Dt,Order Partner,Terms of Delivery,Terms of Shipping,HEAD ENDS,FINISH WIDTH,GREY COST,PROCESS COST,OTHER COST,PBIT,Dyed Yarn 1st Creel Disp Date,Dyed Yarn Disp Completion Date,Dyeing Req Date,DL Appr Status,Export Invoice No,Weave Comment,Dispatch Tolerance,Fabric XYZ Consumption,Fabric Risk,Rev Fabric Risk,QA Comments 1
RMGE,BRANDIX CASUALWEAR BANGALDESH LTD,MIFYM_FY-22000109,10,A120C498,BDOOJ,CP-PF,LD00000000,,39182.0,Amazon,,,,,2.4,,,,,,0,39182.04,,,,,,,,,,,,,,,2023-03-21 00:00:00,,,,,EXPORT,PD,0.0,,Gautam Joshi,,0.0,0.0,,,,,0.0,0.0,,,0,0,0,0,0,0.0,0.0,,,0.0,-0.1,A120C498BDOO,20OE.CVC*16OE.CVC-115*58-171.1-3/1 S TWILL-$,,,,,,0,,,,,,0.0,0.0,Unchecked,2023-03-21 00:00:00,,,,,,,,0,,,,,,,,,,,,BPF,,,,,0.0,Non-Approved,Men’s Bottoms,,,42850.0,,151204.0,,,Yes,155.0,106.55,67.56,0,10.28,,,,,,Yarn MIL,,,,,
RMGE,BRANDIX CASUALWEAR BANGALDESH LTD,MIFYM_FY-22000086,10,A120C498,BDOOJ,CP-PF,LD00000000,,57195.0,563-Amazon,,,,,2.4,,,,,,0,57195.72,,,,,,,,,,,,,,,2022-12-10 00:00:00,,,,,EXPORT,PD,0.0,,Gautam Joshi,,0.0,0.0,,,,,0.0,0.0,,,0,0,0,0,0,0.0,0.0,,,0.0,-0.1,A120C498BDOO,20OE.CVC*16OE.CVC-115*58-171.1-3/1 S TWILL-$,,,,,,0,,,,,,0.0,0.0,Unchecked,2022-12-10 00:00:00,,,,,,,,0,,,,,,,,,,,,BPF,,,,,0.0,Non-Approved,Men’s Bottoms,,,62550.0,,151204.0,,,Yes,155.0,106.55,67.56,0,10.28,,,,,,Yarn MIL,,,,,
RMGE,VISHWAA APPARELS,MIFYM_FY-22000010,30,A180A234,BAMMO,CT+5NF,STDAWTD000,,20350.0,MARCO POLO,,,,,200.0,,,CT+5CH,SCREEN0006,REACTIVE00,0,20350.0,,,,,,,,,,,,,,,2022-05-09 00:00:00,,,,3000-01-01 00:00:00,DOMESTIC,PD,0.0,,Deepak Bansal,,0.0,0.0,,,,,0.0,0.0,,,0,0,0,0,0,0.0,0.0,,,132.0,0.0,18006BAMMO,80COM.OG*80COM.OG-91*88-170.82-PLAIN,,,3000-01-01 00:00:00,,,1,,,,,,0.0,0.0,Unchecked,2022-05-09 00:00:00,,,,,,,,0,,,,,,,,,,,,BPR,,,,,0.0,Non-Approved,,,,20350.0,,106484.0,,,,0.0,0.0,0.0,0,0.0,,,,,,80COM.OG-Yarn date awated,,,,,
RMGE,GOKALDAS EXPORTS LTD.,MIFYM_FY-22000008,10,ARTAWT,BA,DGNAWT,DUMMY,,36190.0,SANMAR,,,,,110.0,,,PC-SF,RYD0000000,,0,36190.0,,,,,,,,,,,,,,,2022-05-07 00:00:00,RM.0121.0125,,,,DOMESTIC,YD,0.0,,Anup Patel,,0.0,0.0,,,,,0.0,0.0,,,0,0,0,0,0,0.0,0.0,,,0.0,0.0,ARTAWTBA,,,,2022-05-08 00:00:00,,,,,,,,,0.0,0.0,Unchecked,2022-05-07 00:00:00,,,,,,,,0,,,,,,,,,,,,BYF,,,,,0.0,,,,,36190.0,,100074.0,,,,0.0,0.0,0.0,0,0.0,,,,Awtd,,,,,,,
RMGE,MACWEAR,MIFYM_FY-21000090,10,12400013,BDCO,CT-PF,LD00000000,,6500.0,OSTIN,,,,,1.0,,,,,,0,6500.0,,,,,,,,,,,,,,,2021-09-24 00:00:00,,,,,DOMESTIC,PD,0.0,,Gurpreet Singh,,0.0,0.0,,,,,0.0,0.0,,,0,0,0,0,0,0.0,0.0,,,0.0,0.0,12400013BDCO,"24C*14OE+16K.MC-122*64-165.6-2/2,S TWILL-$",,,,,,0,,,,,,0.0,0.0,Unchecked,2021-09-24 00:00:00,,,,,,,,0,,,,,,,,,,,,BPF,,,,,0.0,Non-Approved,,,,6500.0,,101641.0,,,,0.0,0.0,0.0,0,0.0,,,,,,Yarn MIL,,,,,
RMGE,RICHA & CO.,MIFYM_FY-21000055,10,DUMMY,0,DGNAWT,DUMMY,,46240.0,ABERCROMBIE & FITCH,,,,,1.0,,,PC-SF,RYD0000000,,0,46240.0,,,,,,,,,,,,,,,2021-07-17 00:00:00,A142A007 BACCJ,,,,DOMESTIC,YD,0.0,,Vikas Sharma,,0.0,0.0,,,,,0.0,0.0,,,0,0,0,0,0,0.0,0.0,,,0.0,0.0,DUMMY00,dummy                                             ,,,2021-08-12 00:00:00,,,,,,,,,0.0,0.0,Unchecked,2021-07-17 00:00:00,,,,,,,,0,,,,,,,,,,,,BYF,,,,,0.0,,,,,60000.0,,104203.0,,,,0.0,0.0,0.0,0,0.0,,,,,,,,,,,
RMGE,GOKALDAS EXPORTS LTD,MIE72_E72-22000012,20,A116A661,BDKC,ST-PCH,STDAWTD000,,50000.0,CARHARTT,,,,,1.0,,,,,,0,50000.0,,,,,,,,,,,,,,,2022-07-23 00:00:00,,2022-10-19 00:00:00,,2023-10-30 00:00:00,DOMESTIC,PD,0.0,,Gurpreet Singh,,0.0,0.0,,,,,0.0,0.0,,,0,0,0,0,0,0.0,0.0,,,0.0,85106.1,A116A661BDKCD,16K*14C.SPX(70D)-91*60-179-2/2 MATT-$,,MIL,2023-12-30 00:00:00,2023-10-14 00:00:00,,16,,,,,,0.0,0.0,Unchecked,2022-07-23 00:00:00,,,,Budhni,Budhni,,,0,,,,,Lab Dip Std Awtd,,,2022-08-30 00:00:00,2022-10-20 00:00:00,,,BPF,,,,,0.0,Non-Approved,,,,50000.0,2024-01-20,104854.0,,,,0.0,0.0,0.0,0,0.0,,,,,,MIL / crok,,,,,
RMGE,GOKALDAS EXPORTS LTD,MIE72_E72-22000012,10,A109A001,BDKK,CT-CH1,STDAWTD000,,50000.0,CARHARTT,,,,,1.0,,,,,,0,50000.0,,,,,,,,,,,,,,,2022-07-23 00:00:00,,2022-10-19 00:00:00,,2023-10-05 00:00:00,DOMESTIC,PD,0.0,,Gurpreet Singh,,0.0,0.0,,,,,0.0,0.0,,,0,0,0,0,0,0.0,0.0,,,0.0,959.09,A109A001BDKK,8.5K*2/8.5K -82*27-156.11-OXFORD,,MIL,2023-11-30 00:00:00,2023-10-14 00:00:00,,8,,,,,,0.0,0.0,Unchecked,2022-07-23 00:00:00,,,,Budhni,Budhni,,,0,,,,,Lab Dip Std Awtd,,,2022-08-30 00:00:00,2022-10-20 00:00:00,,,BPF,,,,,0.0,Non-Approved,,,,50000.0,2024-01-20,104854.0,,,,0.0,0.0,0.0,0,0.0,,,,,,MIL,,,,,
RMGE,SHAHI EXPORTS PVT LTD,MIE72_E72-13000027,10,130K49,BD,PC-SF,LD00000001,,16000.0,To be Announced / Not Available,,,,,1.0,,,,,,0,16000.0,,,,,,,,,,,,,,,2013-05-13 00:00:00,,2014-03-26 00:00:00,,2014-03-05 00:00:00,DOMESTIC,PD,0.0,,Manish Rohilla,,0.0,0.0,,,,,0.0,0.0,,,0,0,0,0,0,0.0,0.0,,,0.0,0.0,130K49BD,30C.CVC*30C.CVC-156*94-163-2/2 HBT                ,,2014-03-01 00:00:00,2014-03-25 00:00:00,1900-11-11 00:00:00,,0,,,,,,0.0,0.0,Checked,2013-05-13 00:00:00,,,,Budhni,Budhni,,,0,,,,,,,,,,,,BPF,,,,,0.0,Non-Approved,,,,0.0,,100142.0,,,,,0.0,0.0,0,0.0,,,,,,"30 CVC Yaren date pending,rahul will provide on 19dec",,,,,
RMGE,GOKUL DAS IMAGES LTD.,BLTIM_S81-25811,10,260456,BAR,ST-PF,6000042321,,3641.0,,,,,,188.0,TIM_S81-25811,10.0,,,,0,3641.0,,,,,,,,,,,,,,,2013-03-31 00:00:00,,,,,DOMESTIC,PD,0.0,,,3641-10/04/2013,0.0,0.0,,,,,0.0,0.0,,,0,0,0,0,0,0.0,0.0,,,0.0,0.0,260456BAR,"60/2R*20SPX-142*72-177.5-2/2,Z TWILL",,,,,,0,,,,,,0.0,0.0,Checked,2013-03-31 00:00:00,,,,Baddi,,,,0,,,,D-65,,,,,,,,BPF,,,,,0.0,Approved,Women's Bottoms,,,3641.0,,100374.0,CFR,AR,,148.0,0.0,0.0,0,0.0,,,,,,,,,,,
